t,y
1016,6.08
1016,6.24
1016,6.4
1016,6.5600000000000005
1016,6.72
1016,6.88
1016,7.04
1020,5.6000000000000005
1020,5.76
1020,5.92
1020,7.2
1024,5.28
1024,5.44
1024,7.36
1028,4.96
1028,5.12
1028,7.5200000000000005
1032,4.64
1032,4.8
1032,7.68
1036,4.32
1036,4.48
1036,7.68
1040,4.16
1040,7.84
1044,4.0
1044,7.84
1048,3.84
1048,8.0
1052,3.68
1052,8.16
1056,3.52
1056,8.16
1060,3.36
1060,8.32
1064,3.36
1064,8.48
1068,3.2
1068,8.48
1072,3.2
1072,8.64
1076,3.04
1076,8.8
1080,3.04
1080,8.8
1084,2.88
1084,8.96
1088,2.72
1088,9.120000000000001
1088,9.28
1088,9.44
1088,9.6
1088,9.76
1088,9.92
1092,2.72
1092,10.08
1092,10.24
1092,10.4
1096,2.56
1096,10.56
1096,10.72
1096,10.88
1100,2.4
1100,11.040000000000001
1100,11.200000000000001
1104,2.24
1104,11.36
1104,11.52
1108,2.08
1108,11.68
1112,2.08
1112,11.84
1116,1.92
1116,12.0
1120,1.76
1120,12.0
1124,1.76
1124,12.0
1128,1.6
1128,12.0
1132,1.6
1132,12.0
1136,1.44
1136,12.0
1140,1.44
1140,12.0
1144,1.28
1144,12.16
1148,1.28
1148,12.16
1152,1.12
1152,12.16
1156,1.12
1156,12.16
1160,1.12
1160,12.16
1164,0.96
1164,12.16
1168,0.96
1168,12.16
1172,0.96
1172,12.16
1176,0.96
1176,12.16
1180,0.96
1180,12.16
1184,0.96
1184,12.16
1188,0.96
1188,12.16
1192,0.96
1192,12.16
1196,0.96
1196,12.16
1200,0.96
1200,12.16
1204,0.96
1204,12.16
1208,0.96
1208,12.16
1212,0.96
1212,12.16
1216,0.96
1216,12.16
1220,0.96
1220,12.16
1224,0.96
1224,12.16
1228,0.96
1228,12.16
1232,0.96
1232,12.16
1236,0.96
1236,12.16
1240,0.96
1240,12.16
1244,0.96
1244,12.16
1248,0.96
1248,12.16
1252,0.96
1252,12.16
1256,0.96
1256,12.16
1260,0.96
1260,12.16
1264,0.96
1264,12.16
1268,0.96
1268,12.16
1272,0.8
1272,12.16
1276,0.8
1276,12.16
1280,0.8
1280,12.16
1284,0.8
1284,12.16
1288,0.8
1288,12.16
1292,0.8
1292,12.16
1296,0.8
1296,12.16
1300,0.8
1300,12.16
1304,0.8
1304,12.16
1308,0.8
1308,12.16
1312,0.8
1312,12.16
1316,0.8
1316,12.16
1320,0.8
1320,12.16
1324,0.8
1324,12.16
1328,0.8
1328,12.16
1332,0.8
1332,12.16
1336,0.8
1336,12.16
1340,0.8
1340,12.16
1344,0.8
1344,12.16
1348,0.8
1348,12.16
1352,0.8
1352,12.16
1356,0.8
1356,12.16
1360,0.8
1360,12.16
1364,0.8
1364,12.16
1368,0.8
1368,12.16
1372,0.8
1372,12.16
1376,0.8
1376,12.16
1380,0.8
1380,12.16
1384,0.8
1384,12.16
1388,0.8
1388,12.16
1392,0.8
1392,12.16
1396,0.8
1396,12.16
1400,0.8
1400,12.16
1404,0.8
1404,12.16
1408,0.8
1408,12.16
1412,0.8
1412,12.16
1416,0.8
1416,12.16
1420,0.8
1420,12.16
1424,0.8
1424,12.16
1428,0.8
1428,12.16
1432,0.8
1432,12.16
1436,0.8
1436,12.16
1440,0.8
1440,12.16
1444,0.8
1444,12.16
1448,0.8
1448,12.16
1452,0.8
1452,12.16
1456,0.8
1456,12.16
1460,0.8
1460,12.16
1464,0.8
1464,12.16
1468,0.8
1468,12.16
1472,0.8
1472,12.16
1476,0.8
1476,12.16
1480,0.8
1480,12.16
1484,0.8
1484,12.16
1488,0.8
1488,12.16
1492,0.96
1492,12.16
1496,0.96
1496,12.16
1500,0.96
1500,12.16
1504,0.96
1504,12.16
1508,0.96
1508,12.16
1512,0.96
1512,12.16
1516,0.96
1516,12.16
1520,0.96
1520,12.16
1524,0.96
1524,12.32
1528,0.96
1528,12.32
1532,0.96
1532,12.32
1536,0.96
1536,12.32
1540,0.96
1540,12.32
1544,0.96
1544,12.32
1548,0.96
1548,12.32
1552,0.96
1552,12.32
1556,0.96
1556,12.32
1560,0.96
1560,12.32
1564,0.96
1564,12.32
1568,0.96
1568,12.32
1572,0.96
1572,12.32
1576,0.96
1576,12.32
1580,0.96
1580,12.16
1584,0.96
1584,12.16
1588,0.96
1588,12.16
1592,0.96
1592,12.16
1596,0.96
1596,12.16
1600,0.96
1600,12.16
1604,0.96
1604,12.16
1608,0.96
1608,12.16
1612,0.96
1612,12.16
1616,0.96
1616,12.16
1620,0.96
1620,12.16
1624,0.96
1624,12.16
1628,0.96
1628,12.16
1632,0.96
1632,12.16
1636,0.96
1636,12.16
1640,0.96
1640,12.16
1644,0.96
1644,12.16
1648,0.96
1648,12.0
1652,0.96
1652,12.0
1656,0.96
1656,12.0
1660,0.96
1660,12.0
1664,0.96
1664,12.0
1668,0.96
1668,12.0
1672,0.96
1672,12.0
1676,0.96
1676,12.0
1680,0.96
1680,12.0
1684,0.96
1684,12.0
1688,0.96
1688,12.0
1692,0.96
1692,12.0
1696,0.96
1696,12.0
1700,0.96
1700,12.0
1704,0.96
1704,12.0
1708,0.96
1708,12.0
1712,0.96
1712,12.0
1716,0.96
1716,12.0
1720,0.96
1720,12.0
1724,0.96
1724,12.0
1728,0.96
1728,12.0
1732,0.96
1732,12.0
1736,0.96
1736,12.0
1740,0.96
1740,12.0
1744,0.96
1744,12.0
1748,0.96
1748,12.0
1752,0.96
1752,12.0
1756,0.96
1756,12.0
1760,0.96
1760,12.0
1764,0.96
1764,12.0
1768,0.96
1768,12.0
1772,0.96
1772,12.0
1776,0.96
1776,12.0
1780,0.96
1780,12.0
1784,0.96
1784,12.0
1788,0.96
1788,12.0
1792,0.96
1792,12.0
1796,0.96
1796,12.0
1800,0.96
1800,12.0
1804,0.96
1804,12.0
1808,0.96
1808,12.0
1812,0.96
1812,12.0
1816,0.96
1816,12.0
1820,0.96
1820,12.0
1824,0.96
1824,12.0
1828,0.96
1828,12.0
1832,0.96
1832,12.0
1836,0.96
1836,12.0
1840,0.96
1840,12.0
1844,0.96
1844,12.0
1848,0.96
1848,12.0
1852,0.96
1852,12.0
1856,0.96
1856,12.0
1860,0.96
1860,12.0
1864,0.96
1864,12.0
1868,0.96
1868,12.0
1872,0.96
1872,12.0
1876,0.96
1876,12.0
1880,0.96
1880,12.0
1884,0.96
1884,12.0
1888,0.96
1888,12.0
1892,0.96
1892,12.0
1896,0.96
1896,12.0
1900,0.96
1900,12.0
1904,0.96
1904,12.0
1908,0.96
1908,12.0
1912,0.96
1912,12.0
1916,0.96
1916,12.0
1920,0.96
1920,12.0
1924,0.96
1924,12.0
1928,0.96
1928,11.84
1932,0.96
1932,11.84
1936,0.96
1936,11.84
1940,0.96
1940,11.84
1944,0.96
1944,11.84
1948,0.96
1948,11.84
1952,0.96
1952,11.84
1956,0.96
1956,11.84
1960,0.96
1960,11.84
1964,0.96
1964,11.84
1968,0.96
1968,11.84
1972,0.96
1972,11.84
1976,0.96
1976,11.84
1980,0.96
1980,11.84
1984,0.96
1984,11.84
1988,0.96
1988,11.84
1992,0.96
1992,11.84
1996,0.96
1996,11.84
2000,0.96
2000,11.84
2004,0.96
2004,11.84
2008,0.96
2008,11.84
2012,0.96
2012,11.84
2016,0.96
2016,11.84
2020,0.96
2020,11.84
2024,0.96
2024,11.84
2028,0.96
2028,11.84
2032,0.96
2032,11.84
2036,0.96
2036,11.84
2040,0.96
2040,11.84
2044,0.96
2044,11.84
2048,0.96
2048,11.84
2052,0.96
2052,11.84
2056,0.96
2056,11.84
2060,0.96
2060,11.84
2064,0.96
2064,11.84
2068,0.96
2068,11.84
2072,0.96
2072,11.84
2076,0.96
2076,11.68
2080,0.96
2080,11.68
2084,0.96
2084,11.68
2088,0.96
2088,11.68
2092,0.96
2092,11.68
2096,0.96
2096,11.68
2100,0.96
2100,11.68
2104,0.96
2104,11.68
2108,0.96
2108,11.68
2112,0.0
2112,0.16
2112,0.32
2112,0.48
2112,0.64
2112,0.8
2112,11.84
2112,12.0
2112,12.16
2112,12.32
2112,12.48
2112,12.64
2112,12.8
2112,12.96
2112,13.120000000000001
2112,13.280000000000001
2112,13.44
2112,13.6
2112,13.76
2112,13.92
2112,14.08
